SVI KL,VAE REC,Mode,VAE PPL,Epoch,SVI REC,SVI NLL,AR NLL,SVI PPL,VAE NLL,LR,VAE KL,AR PPL,Epoch Train Time
tensor(0.),tensor(119.1643),Val,tensor(251.4814),1,tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(120.9789),0.001,tensor(1.8146),tensor(1.),26.3381130695343
tensor(0.),tensor(118.1818),Test,tensor(237.9002),1,tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(119.9268),0.001,tensor(1.7450),tensor(1.),26.3381130695343
tensor(0.),tensor(113.4662),Val,tensor(193.3601),2,tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(115.2266),0.0009755282581475768,tensor(1.7604),tensor(1.),25.841065645217896
tensor(0.),tensor(112.5495),Test,tensor(183.6832),2,tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(114.2582),0.0009755282581475768,tensor(1.7087),tensor(1.),25.841065645217896
tensor(0.),tensor(110.8002),Val,tensor(168.2154),3,tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(112.1775),0.0009045084971874737,tensor(1.3773),tensor(1.),25.47805619239807
tensor(0.),tensor(109.9656),Test,tensor(160.3683),3,tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(111.2832),0.0009045084971874737,tensor(1.3176),tensor(1.),25.47805619239807
tensor(0.),tensor(109.0618),Val,tensor(154.3627),4,tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(110.2965),0.0007938926261462366,tensor(1.2347),tensor(1.),25.784632444381714
tensor(0.),tensor(108.1607),Test,tensor(146.8233),4,tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(109.3492),0.0007938926261462366,tensor(1.1884),tensor(1.),25.784632444381714
tensor(0.),tensor(108.0294),Val,tensor(145.8352),5,tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(109.0527),0.0006545084971874737,tensor(1.0232),tensor(1.),25.829375982284546
tensor(0.),tensor(107.0835),Test,tensor(138.4661),5,tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(108.0647),0.0006545084971874737,tensor(0.9812),tensor(1.),25.829375982284546
tensor(0.),tensor(107.1816),Val,tensor(140.1249),6,tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(108.1784),0.0005,tensor(0.9968),tensor(1.),25.58400845527649
tensor(0.),tensor(106.2572),Test,tensor(133.1971),6,tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(107.2144),0.0005,tensor(0.9573),tensor(1.),25.58400845527649
tensor(0.),tensor(106.8033),Val,tensor(137.9043),7,tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(107.8288),0.00034549150281252633,tensor(1.0255),tensor(1.),25.66724181175232
tensor(0.),tensor(105.7906),Test,tensor(130.5730),7,tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(106.7784),0.00034549150281252633,tensor(0.9877),tensor(1.),25.66724181175232
tensor(0.),tensor(106.4665),Val,tensor(135.7535),8,tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(107.4848),0.00020610737385376348,tensor(1.0183),tensor(1.),25.42781972885132
tensor(0.),tensor(105.5046),Test,tensor(128.8474),8,tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(106.4868),0.00020610737385376348,tensor(0.9822),tensor(1.),25.42781972885132
tensor(0.),tensor(106.2464),Val,tensor(134.3582),9,tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(107.2586),9.549150281252633e-05,tensor(1.0122),tensor(1.),25.420855045318604
tensor(0.),tensor(105.2868),Test,tensor(127.5247),9,tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(106.2606),9.549150281252633e-05,tensor(0.9738),tensor(1.),25.420855045318604
tensor(0.),tensor(106.2067),Val,tensor(134.1102),10,tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(107.2182),2.4471741852423235e-05,tensor(1.0115),tensor(1.),25.679495096206665
tensor(0.),tensor(105.2479),Test,tensor(127.2799),10,tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(106.2185),2.4471741852423235e-05,tensor(0.9706),tensor(1.),25.679495096206665
tensor(0.),tensor(104.4324),Val,tensor(140.1977),11,tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(108.1898),0.001,tensor(3.7574),tensor(1.),25.423023462295532
tensor(0.),tensor(103.5044),Test,tensor(133.0487),11,tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(107.1900),0.001,tensor(3.6857),tensor(1.),25.423023462295532
tensor(0.),tensor(104.0560),Val,tensor(133.1572),12,tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(107.0621),0.0009755282581475768,tensor(3.0061),tensor(1.),26.04090428352356
tensor(0.),tensor(103.1925),Test,tensor(126.7420),12,tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(106.1257),0.0009755282581475768,tensor(2.9332),tensor(1.),26.04090428352356
tensor(0.),tensor(103.8011),Val,tensor(127.3545),13,tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(106.0869),0.0009045084971874737,tensor(2.2858),tensor(1.),25.78631019592285
tensor(0.),tensor(102.9268),Test,tensor(121.2468),13,tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(105.1542),0.0009045084971874737,tensor(2.2274),tensor(1.),25.78631019592285
tensor(0.),tensor(103.6272),Val,tensor(123.9808),14,tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(105.4993),0.0007938926261462366,tensor(1.8721),tensor(1.),25.9320809841156
tensor(0.),tensor(102.7572),Test,tensor(118.0243),14,tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(104.5638),0.0007938926261462366,tensor(1.8066),tensor(1.),25.9320809841156
tensor(0.),tensor(103.6095),Val,tensor(121.6709),15,tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(105.0876),0.0006545084971874737,tensor(1.4782),tensor(1.),25.9399356842041
tensor(0.),tensor(102.6825),Test,tensor(115.5363),15,tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(104.0969),0.0006545084971874737,tensor(1.4144),tensor(1.),25.9399356842041
tensor(0.),tensor(103.4777),Val,tensor(120.6548),16,tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(104.9041),0.0005,tensor(1.4264),tensor(1.),26.14993953704834
tensor(0.),tensor(102.4611),Test,tensor(114.1104),16,tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(103.8247),0.0005,tensor(1.3635),tensor(1.),26.14993953704834
tensor(0.),tensor(103.3633),Val,tensor(119.5973),17,tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(104.7114),0.00034549150281252633,tensor(1.3481),tensor(1.),25.8665988445282
tensor(0.),tensor(102.3223),Test,tensor(112.9999),17,tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(103.6103),0.00034549150281252633,tensor(1.2881),tensor(1.),25.8665988445282
tensor(0.),tensor(103.2663),Val,tensor(119.2837),18,tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(104.6540),0.00020610737385376348,tensor(1.3877),tensor(1.),25.51067543029785
tensor(0.),tensor(102.2172),Test,tensor(112.6751),18,tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(103.5473),0.00020610737385376348,tensor(1.3301),tensor(1.),25.51067543029785
tensor(0.),tensor(103.1801),Val,tensor(118.6880),19,tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(104.5443),9.549150281252633e-05,tensor(1.3642),tensor(1.),26.174666166305542
tensor(0.),tensor(102.1606),Test,tensor(112.2637),19,tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(103.4671),9.549150281252633e-05,tensor(1.3065),tensor(1.),26.174666166305542
tensor(0.),tensor(103.1517),Val,tensor(118.5155),20,tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(104.5125),2.4471741852423235e-05,tensor(1.3608),tensor(1.),25.602647304534912
tensor(0.),tensor(102.1822),Test,tensor(112.3546),20,tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(103.4848),2.4471741852423235e-05,tensor(1.3026),tensor(1.),25.602647304534912
tensor(0.),tensor(101.0928),Val,tensor(127.7348),21,tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(106.1522),0.001,tensor(5.0593),tensor(1.),25.656934022903442
tensor(0.),tensor(100.1687),Test,tensor(121.5392),21,tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(105.2070),0.001,tensor(5.0383),tensor(1.),25.656934022903442
tensor(0.),tensor(101.3006),Val,tensor(123.4648),22,tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(105.4080),0.0009755282581475768,tensor(4.1074),tensor(1.),25.618186235427856
tensor(0.),tensor(100.2866),Test,tensor(116.9463),22,tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(104.3627),0.0009755282581475768,tensor(4.0761),tensor(1.),25.618186235427856
tensor(0.),tensor(101.4791),Val,tensor(119.4540),23,tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(104.6852),0.0009045084971874737,tensor(3.2061),tensor(1.),25.97783613204956
tensor(0.),tensor(100.5171),Test,tensor(113.2402),23,tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(103.6569),0.0009045084971874737,tensor(3.1398),tensor(1.),25.97783613204956
tensor(0.),tensor(101.9393),Val,tensor(117.3742),24,tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(104.3007),0.0007938926261462366,tensor(2.3614),tensor(1.),25.74466633796692
tensor(0.),tensor(100.9318),Test,tensor(111.1007),24,tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(103.2389),0.0007938926261462366,tensor(2.3071),tensor(1.),25.74466633796692
tensor(0.),tensor(102.2698),Val,tensor(116.9121),25,tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(104.2144),0.0006545084971874737,tensor(1.9446),tensor(1.),24.833523750305176
tensor(0.),tensor(101.2269),Test,tensor(110.4374),25,tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(103.1076),0.0006545084971874737,tensor(1.8808),tensor(1.),24.833523750305176
tensor(0.),tensor(102.2448),Val,tensor(115.6434),26,tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(103.9756),0.0005,tensor(1.7308),tensor(1.),25.56776762008667
tensor(0.),tensor(101.1478),Test,tensor(109.0022),26,tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(102.8209),0.0005,tensor(1.6731),tensor(1.),25.56776762008667
tensor(0.),tensor(102.4635),Val,tensor(116.5990),27,tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(104.1557),0.00034549150281252633,tensor(1.6922),tensor(1.),25.66627526283264
tensor(0.),tensor(101.2937),Test,tensor(109.5213),27,tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(102.9250),0.00034549150281252633,tensor(1.6314),tensor(1.),25.66627526283264
tensor(0.),tensor(102.1786),Val,tensor(115.0487),28,tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(103.8627),0.00020610737385376348,tensor(1.6841),tensor(1.),25.9726505279541
tensor(0.),tensor(101.0361),Test,tensor(108.2118),28,tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(102.6614),0.00020610737385376348,tensor(1.6253),tensor(1.),25.9726505279541
tensor(0.),tensor(102.2160),Val,tensor(115.2276),29,tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(103.8968),9.549150281252633e-05,tensor(1.6807),tensor(1.),26.05211114883423
tensor(0.),tensor(101.0512),Test,tensor(108.2535),29,tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(102.6699),9.549150281252633e-05,tensor(1.6186),tensor(1.),26.05211114883423
tensor(0.),tensor(102.1947),Val,tensor(115.0933),30,tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(103.8712),2.4471741852423235e-05,tensor(1.6766),tensor(1.),25.91685461997986
tensor(0.),tensor(101.1253),Test,tensor(108.6144),30,tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(102.7428),2.4471741852423235e-05,tensor(1.6175),tensor(1.),25.91685461997986
tensor(0.),tensor(99.8284),Val,tensor(124.9191),31,tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(105.6643),0.001,tensor(5.8359),tensor(1.),25.557039737701416
tensor(0.),tensor(98.6973),Test,tensor(117.7768),31,tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(104.5178),0.001,tensor(5.8205),tensor(1.),25.557039737701416
tensor(0.),tensor(100.1545),Val,tensor(120.6981),32,tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(104.9119),0.0009755282581475768,tensor(4.7575),tensor(1.),25.545581340789795
tensor(0.),tensor(98.9879),Test,tensor(113.5056),32,tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(103.7082),0.0009755282581475768,tensor(4.7203),tensor(1.),25.545581340789795
tensor(0.),tensor(100.7029),Val,tensor(118.5120),33,tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(104.5119),0.0009045084971874737,tensor(3.8090),tensor(1.),25.54173493385315
tensor(0.),tensor(99.6085),Test,tensor(111.7289),33,tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(103.3624),0.0009045084971874737,tensor(3.7539),tensor(1.),25.54173493385315
tensor(0.),tensor(101.3893),Val,tensor(116.6535),34,tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(104.1659),0.0007938926261462366,tensor(2.7767),tensor(1.),25.38527822494507
tensor(0.),tensor(100.2754),Test,tensor(109.8435),34,tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(102.9894),0.0007938926261462366,tensor(2.7140),tensor(1.),25.38527822494507
tensor(0.),tensor(101.7277),Val,tensor(115.4233),35,tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(103.9339),0.0006545084971874737,tensor(2.2062),tensor(1.),25.661282539367676
tensor(0.),tensor(100.5765),Test,tensor(108.5359),35,tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(102.7270),0.0006545084971874737,tensor(2.1505),tensor(1.),25.661282539367676
tensor(0.),tensor(101.7692),Val,tensor(115.2109),36,tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(103.8936),0.0005,tensor(2.1244),tensor(1.),25.887280225753784
tensor(0.),tensor(100.6136),Test,tensor(108.2958),36,tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(102.6784),0.0005,tensor(2.0648),tensor(1.),25.887280225753784
tensor(0.),tensor(101.7642),Val,tensor(114.6455),37,tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(103.7859),0.00034549150281252633,tensor(2.0217),tensor(1.),25.819642543792725
tensor(0.),tensor(100.6115),Test,tensor(107.7756),37,tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(102.5729),0.00034549150281252633,tensor(1.9614),tensor(1.),25.819642543792725
tensor(0.),tensor(101.8156),Val,tensor(114.8007),38,tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(103.8155),0.00020610737385376348,tensor(1.9999),tensor(1.),25.563183784484863
tensor(0.),tensor(100.6280),Test,tensor(107.7384),38,tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(102.5653),0.00020610737385376348,tensor(1.9373),tensor(1.),25.563183784484863
tensor(0.),tensor(101.8722),Val,tensor(114.8322),39,tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(103.8215),9.549150281252633e-05,tensor(1.9494),tensor(1.),25.675190210342407
tensor(0.),tensor(100.6718),Test,tensor(107.7164),39,tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(102.5608),9.549150281252633e-05,tensor(1.8891),tensor(1.),25.675190210342407
tensor(0.),tensor(101.8381),Val,tensor(114.6125),40,tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(103.7796),2.4471741852423235e-05,tensor(1.9415),tensor(1.),25.800791025161743
tensor(0.),tensor(100.6665),Test,tensor(107.6439),40,tensor(0.),tensor(0.),tensor(0.),tensor(1.),tensor(102.5461),2.4471741852423235e-05,tensor(1.8796),tensor(1.),25.800791025161743
